Date,Open,High,Low,Close,Adj Close,Volume
2020-09-07,387.000000,402.200012,383.100006,400.100006,398.082031,2790896
2020-09-08,404.000000,410.000000,398.609985,402.000000,399.972443,4221827
2020-09-09,402.200012,405.100006,392.600006,396.600006,394.599670,4257120
2020-09-10,396.399994,408.200012,392.799988,400.799988,398.778473,3436236
2020-09-11,398.899994,402.600006,391.799988,396.100006,394.102203,2425026
2020-09-14,400.500000,410.000000,398.899994,403.600006,401.564362,3415594
2020-09-15,405.000000,407.899994,392.299988,397.899994,395.893097,5685440
2020-09-16,398.000000,550.200012,396.200012,400.899994,398.877991,6463816
2020-09-17,386.500000,397.200012,384.100006,394.500000,392.510254,4021401
2020-09-18,390.299988,393.399994,380.600006,380.600006,378.680389,6131909
2020-09-21,391.600006,394.399994,366.000000,367.600006,365.745941,8098910
2020-09-22,370.899994,373.399994,359.200012,362.000000,360.174194,6030929
2020-09-23,367.700012,376.200012,359.399994,359.399994,357.587280,4911353
2020-09-24,354.399994,362.600006,350.899994,354.399994,352.612518,4787243
2020-09-25,352.899994,360.000000,345.799988,360.000000,358.184265,5117607
2020-09-28,366.299988,379.700012,362.399994,377.299988,375.397003,3740720
2020-09-29,378.000000,379.399994,370.799988,372.100006,370.223236,2849231
2020-09-30,370.399994,379.200012,369.500000,376.500000,374.601044,3709971
2020-10-01,379.700012,384.600006,374.399994,381.399994,379.476318,3119521
2020-10-02,376.200012,387.100006,375.100006,387.100006,385.147583,2881958
2020-10-05,394.899994,400.100006,390.799988,400.100006,398.082031,3023229
2020-10-06,401.100006,416.000000,397.799988,415.100006,413.006378,3606692
2020-10-07,414.200012,418.299988,406.700012,411.700012,409.623535,4711419
2020-10-08,414.000000,423.299988,408.500000,421.200012,419.075623,4260810
2020-10-09,423.100006,427.200012,416.473999,420.700012,418.578125,4254585
2020-10-12,421.399994,421.899994,413.600006,414.700012,412.608398,2716317
2020-10-13,415.600006,417.500000,408.100006,409.700012,407.633606,2532843
2020-10-14,409.100006,409.799988,398.299988,403.899994,401.862854,3377069
2020-10-15,399.700012,402.200012,390.600006,402.200012,400.171448,2110878
2020-10-16,406.799988,411.500000,401.500000,406.799988,404.748230,3074844
2020-10-19,410.000000,417.600006,406.399994,417.600006,415.493774,2970953
2020-10-20,410.299988,442.500000,410.299988,436.899994,434.696411,4611554
2020-10-21,437.600006,437.600006,428.299988,430.399994,428.229187,4550441
2020-10-22,428.600006,441.399994,422.000000,436.299988,434.099426,4223375
2020-10-23,436.100006,449.000000,434.500000,449.000000,446.735382,3995242
2020-10-26,439.700012,451.200012,435.000000,444.899994,442.656067,4514834
2020-10-27,443.399994,451.399994,436.500000,447.500000,445.242950,6854223
2020-10-28,438.799988,442.500000,418.000000,424.000000,421.861481,5857697
2020-10-29,419.200012,423.500000,407.000000,416.100006,414.001343,5205263
2020-10-30,410.000000,419.100006,407.299988,418.000000,415.891754,3105835
2020-11-02,418.799988,419.799988,410.681000,419.100006,416.986206,3334832
2020-11-03,421.399994,440.299988,419.799988,433.500000,431.313568,3191170
2020-11-04,426.500000,446.299988,420.739990,443.000000,440.765656,4871137
2020-11-05,445.799988,462.500000,442.195007,460.100006,457.779419,3579117
2020-11-06,456.600006,462.799988,450.200012,456.700012,454.396576,3558221
2020-11-09,462.399994,659.000000,460.200012,558.000000,555.185608,14408105
2020-11-10,559.799988,582.000000,555.000000,570.799988,567.921082,11709133
2020-11-11,572.400024,578.799988,539.599976,553.000000,550.210815,7921947
2020-11-12,547.000000,565.599976,541.000000,556.000000,553.195740,3396949
2020-11-13,552.400024,568.799988,552.400024,561.200012,558.369507,3332886
2020-11-16,562.000000,577.599976,554.200012,573.599976,570.706909,4930698
2020-11-17,575.799988,585.000000,562.799988,580.599976,577.671631,6546457
2020-11-18,569.000000,585.000000,564.799988,585.000000,582.049438,4251641
2020-11-19,582.599976,584.799988,573.599976,582.599976,579.661499,5756218
2020-11-20,581.400024,585.599976,568.400024,569.799988,566.926086,3358267
2020-11-23,575.400024,582.599976,560.599976,563.400024,560.558411,2526099
2020-11-24,566.400024,571.599976,550.799988,556.400024,553.593689,5030909
2020-11-25,554.200012,558.799988,542.400024,546.599976,543.843079,2933705
2020-11-26,549.200012,550.000000,536.799988,541.799988,539.067322,3465689
2020-11-27,540.000000,544.400024,528.799988,540.200012,537.475403,9373111
2020-11-30,537.799988,549.200012,530.200012,530.200012,527.525879,6704532
2020-12-01,532.400024,549.200012,531.000000,549.200012,546.429993,2531292
2020-12-02,547.599976,550.200012,541.000000,548.799988,546.032043,2735586
2020-12-03,546.599976,562.599976,546.200012,559.599976,556.777527,2243269
2020-12-04,560.000000,579.200012,555.799988,573.200012,570.308960,6815652
2020-12-07,572.799988,575.599976,563.799988,571.799988,568.916016,2162424
2020-12-08,568.599976,577.000000,562.400024,564.400024,561.553345,2142229
2020-12-09,558.799988,569.599976,555.200012,561.799988,558.966431,1937766
2020-12-10,563.400024,576.400024,562.400024,562.400024,559.563477,2334541
2020-12-11,565.599976,567.000000,547.200012,555.799988,552.996704,1953890
2020-12-14,563.599976,566.799988,551.799988,554.400024,551.603821,2036444
2020-12-15,554.799988,555.400024,536.400024,545.599976,542.848145,3564403
